index,Event_code
702,LPP-6380110
703,CAM-AHQB032
704,CAM-DZQM005
705,CAM-GDFE016
706,CAM-GDQE001
707,CAM-GDQE005
708,CAM-GLLD003
709,CAM-GLLD012
710,CAM-GLQP004
711,CAM-HEQH002
712,CAM-HSLF001
713,CAM-HSLF003
714,ICD-P209
715,ICD-G521
716,ICD-J159
717,ICD-J690
718,ICD-P364
719,LPP-6146489
720,ICD-K210
721,ATC-A02AB03
722,LPP-1153480
723,LPP-1176876
724,LPP-1131810
725,LPP-1384847
726,LPP-1339090
727,LPP-1330308
728,ATC-N01BB02
729,LPP-6184751
730,LPP-6324442
731,BIO-1572
732,ATC-D07AC17
733,LPP-6369901
734,BIO-524
735,ICD-J038
736,ICD-R650
737,ATC-S02CA05
738,ATC-J01DD04
739,ATC-S01AA30
740,BIO-5278
741,BIO-269
742,BIO-1139
743,CAM-FGRP003
744,LPP-6367658
745,LPP-6335285
746,CAM-BBLD003
747,CAM-BBLD004
748,ICD-Q105
749,LPP-6317086
750,CAM-DHLF001
751,CAM-GLLD018
752,CAM-GLQP001
753,CAM-ZZEP003
754,CAM-EGLF001
755,ICD-P558
756,ICD-P742
757,ICD-P77
758,ICD-P920
759,ICD-Q100
760,ATC-B03BB01
761,ATC-B03XA01
762,ICD-Z271
763,ATC-A02BA02
764,ATC-C07AA05
765,ICD-D180
766,LPP-1301650
767,ICD-J351
768,CAM-QCJA001
769,ICD-S618
770,LPP-1372301
771,LPP-6312485
772,ATC-R05DA08
773,LPP-7239780
774,LPP-7812698
775,LPP-7230559
776,LPP-7212550
777,CAM-BJMA005
778,ICD-H500
779,CAM-ZCQM010
780,ATC-M02AA17
781,LPP-6313415
782,LPP-7814355
783,LPP-7211409
784,BIO-4241
785,CAM-HBQK331
786,ICD-Z001
787,ATC-N02AA01
788,LPP-1332313
789,LPP-1321924
790,CAM-GAGD002
791,CAM-MBQK001
792,CAM-QZJA011
793,ICD-M710
794,LPP-1301130
795,LPP-6325016
796,LPP-6316313
797,CAM-GDQE004
798,CAM-CAGD002
799,CAM-HAFA019
800,CAM-ZZHA001
801,CAM-ZZQX180
802,ICD-J350
803,LPP-2238444
804,LPP-7814651
805,LPP-7814295
806,LPP-7250148
807,LPP-7250289
808,CAM-HBGD042
809,ATC-J07AL01
810,CAM-QZNP012
811,CAM-QANP007
812,LPP-6311356
813,ATC-A01AB11
814,CAM-QZFA036
815,LPP-2218542
816,BIO-476
817,ICD-E669
818,CAM-GLQP007
819,LPP-7244395
820,LPP-7244426
821,CAM-BFQM001
822,CAM-NFMP001
823,CAM-NGMP001
824,CAM-NGQK002
825,CAM-NDQK003
826,LPP-7133483
827,LPP-7225044
828,ATC-S01GX08
829,LPP-1163922
830,BIO-2004
831,BIO-1830
832,BIO-1831
833,BIO-1120
834,BIO-1822
835,BIO-1113
836,CAM-QAJA006
837,LPP-6324844
838,CAM-BLQP002
839,LPP-6324525
840,LPP-7211786
841,ICD-Z383
842,LPP-2202305
843,LPP-2293555
844,LPP-2281598
845,LPP-7812505
846,ATC-S01GX07
847,LPP-1130160
848,LPP-7814154
849,CAM-HBQK428
850,ICD-Q379
851,CAM-HALD004
852,CAM-GELE001
853,CAM-HASA022
854,ICD-Q375
855,CAM-CBLD001
856,CAM-ZZLP054
857,ICD-Z461
858,CAM-CDQP010
859,CAM-HASA002
860,BIO-620
861,CAM-LHQK002
862,ATC-J05AH02
863,LPP-7231837
864,ATC-S01FA06
865,ICD-H660
866,ICD-J988
867,ATC-J05AB11
868,LPP-6324956
869,LPP-6324672
870,BIO-4274
871,LPP-7230571
872,LPP-7230648
873,LPP-1324957
874,LPP-2161530
875,LPP-1298680
876,LPP-7259333
877,LPP-7225660
878,LPP-7259238
879,ATC-R01AC03
880,LPP-6126660
881,LPP-7250355
882,ATC-M02AA13
883,LPP-7133371
884,CAM-GKQE001
885,ICD-E870
886,ICD-E875
887,ICD-R392
888,ATC-R05DA20
889,ATC-J01DC04
890,LPP-7206354
891,CAM-LDQK001
892,LPP-7248536
893,BIO-530
894,ICD-K429
895,BIO-127
896,LPP-6381960
897,LPP-7250390
898,CAM-FAFA015
899,LPP-6370761
900,LPP-6320473
901,LPP-6324465
902,LPP-6370844
903,LPP-6324330
904,ICD-P593
905,LPP-6323320
906,LPP-6132620
907,CAM-GCQE001
908,CAM-ZZQK002
909,ICD-P288
910,ICD-P948
911,ICD-Z048
912,LPP-6370815
913,LPP-6324838
914,ATC-D01AE15
915,LPP-1354591
916,LPP-1383530
917,ATC-A06AX02
918,ATC-D06BB03
919,LPP-7270530
920,LPP-7211697
921,LPP-7132822
922,CAM-NZQK006
923,CAM-PBQM001
924,ICD-R634
925,CAM-MCQK001
926,CAM-MZMP007
927,ATC-R01AD05
928,BIO-253
929,ATC-D01BA02
930,CAM-MHMP007
931,LPP-6318826
932,LPP-7214419
933,LPP-6238091
934,CAM-NZQN001
935,BIO-1014
936,BIO-1015
937,CAM-JEMA019
938,CAM-LMMA014
939,ICD-Q541
940,ICD-K439
941,ICD-Q544
942,LPP-7240055
943,ICD-Q249
944,ICD-Q909
945,ICD-Q212
946,LPP-6110020
947,ICD-Z998
948,LPP-6110014
949,LPP-6385120
950,LPP-6344090
951,LPP-6385099
952,LPP-6384504
953,LPP-6176674
954,ATC-C03CA01
955,CAM-DASA008
956,CAM-DZQJ006
957,CAM-ENLF001
958,CAM-EQLF003
959,CAM-EQQP011
960,CAM-FELF003
961,CAM-FELF004
962,CAM-GELD004
963,CAM-GGJB001
964,CAM-GLLD005
965,CAM-GLLD008
966,CAM-GLLP003
967,CAM-GLQP013
968,CAM-HSLF002
969,CAM-JDLD001
970,CAM-ZZQM004
971,CAM-ZZQP001
972,CAM-ZZQP003
973,CAM-ZZQX128
974,ICD-A410
975,ICD-E031
976,ICD-I300
977,ICD-I313
978,ICD-I500
979,ICD-J951
980,ICD-Q902
981,ICD-Z488
982,ICD-F808
983,ICD-I422
984,ICD-J90
985,ICD-P942
986,ICD-Q211
987,ICD-R160
988,ICD-Z452
989,ATC-H03AA01
990,LPP-6370809
991,CAM-AMQP010
992,CAM-GLMP001
993,CAM-AMQP011
994,ICD-G473
995,ICD-Z991
996,ICD-I517
997,ICD-J108
998,ICD-P783
999,ICD-R05
1000,ICD-R509
1001,LPP-1166820
1002,CAM-ZFQP003
1003,ICD-Q901
1004,ICD-Z718
1005,ICD-N10
1006,LPP-6110439
1007,CAM-JDQH001
1008,CAM-GLLD015
1009,CAM-HFCB001
1010,ICD-Z431
1011,ICD-I270
1012,LPP-6385113
1013,LPP-6136083
1014,LPP-6136120
1015,LPP-6110860
1016,LPP-6384480
1017,LPP-6384467
1018,CAM-LAQK006
1019,LPP-1139266
1020,LPP-6173144
1021,LPP-6173167
1022,CAM-ZBQH001
1023,CAM-AMQP013
1024,LPP-6384042
1025,LPP-6384036
1026,LPP-6384059
1027,LPP-6382860
1028,BIO-1484
1029,BIO-1212
1030,BIO-584
1031,LPP-7232593
1032,BIO-780
1033,BIO-343
1034,BIO-462
1035,BIO-1633
1036,LPP-7211390
1037,CAM-HBGD284
1038,ICD-K029
1039,CAM-MFQK002
1040,LPP-6186342
1041,LPP-6318559
1042,LPP-1210917
1043,LPP-6347070
1044,CAM-QAJA005
1045,CAM-JHEA001
1046,ICD-Z208
1047,ICD-A080
1048,ICD-E162
1049,ATC-D01AC12
1050,BIO-5213
